Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5A9LDuxhPIgEKd7coMTnyb,"Transformer","Carrier","The Dodos",2013-08-26,288189,0,false,5forty,2013-08-27T22:11:42Z,"","Polyvinyl Records",0.331,0.848,2,-8.899,0,0.0577,0.101,0.194,0.224,0.534,123.12,4
spotify:track:2xaFk2jvCoAKPJZnpz0EM8,"Substance","Carrier","The Dodos",2013-08-26,216748,0,false,5forty,2013-08-27T22:11:42Z,"","Polyvinyl Records",0.417,0.802,10,-8.572,0,0.0419,0.02,0.0269,0.24,0.331,167.33,4
spotify:track:0hAN0b6tSBuHMIvBGGdXNP,"Confidence","Carrier","The Dodos",2013-08-26,289547,0,false,5forty,2013-08-27T22:11:42Z,"","Polyvinyl Records",0.326,0.836,1,-6.694,1,0.0507,0.00191,0.363,0.116,0.453,112.666,3
spotify:track:4paglfpH3xi0fDVp0cPA7J,"Stranger","Carrier","The Dodos",2013-08-26,240816,0,false,5forty,2013-08-27T22:11:42Z,"","Polyvinyl Records",0.35,0.734,2,-9.027,1,0.0403,0.0637,0.00036,0.0969,0.215,131.812,4
spotify:track:1O4kZETygvExSJgAc20ZWl,"Relief","Carrier","The Dodos",2013-08-26,219231,0,false,5forty,2013-08-27T22:11:42Z,"","Polyvinyl Records",0.381,0.426,6,-8.186,1,0.0296,0.398,0.000586,0.112,0.259,92.245,4
spotify:track:4uDmZSUd5SPTrMSKnrUQYl,"Holidays","Carrier","The Dodos",2013-08-26,87898,0,false,5forty,2013-08-27T22:11:42Z,"","Polyvinyl Records",0.216,0.35,5,-16.318,1,0.0392,0.834,0.292,0.11,0.0671,97.379,3
spotify:track:5JcpDjwlyLIuuIaOw7ZDgG,"Family","Carrier","The Dodos",2013-08-26,206198,0,false,5forty,2013-08-27T22:11:42Z,"","Polyvinyl Records",0.555,0.518,4,-10.656,1,0.0269,0.00391,0.093,0.129,0.443,122.96,3
spotify:track:5V7NIHnja65ZTi4I0h4KAZ,"The Current","Carrier","The Dodos",2013-08-26,237807,0,false,5forty,2013-08-27T22:11:42Z,"","Polyvinyl Records",0.473,0.882,11,-6.551,1,0.0389,0.028,0.0000124,0.0733,0.495,84.229,4
spotify:track:3pMCVbMWQXAYNiH9Jn6XGX,"Destroyer","Carrier","The Dodos",2013-08-26,208885,0,false,5forty,2013-08-27T22:11:42Z,"","Polyvinyl Records",0.491,0.715,7,-6.974,1,0.0287,0.000964,0.00000787,0.295,0.519,128.414,3
spotify:track:2t5xn5X54k2APZtIdzAE9a,"Death","Carrier","The Dodos",2013-08-26,199992,0,false,5forty,2013-08-27T22:11:42Z,"","Polyvinyl Records",0.35,0.25,9,-14.283,0,0.0357,0.981,0.299,0.111,0.168,118.421,4
spotify:track:2sjqNAaKXmNQW346ZoSbpC,"The Ocean","Carrier","The Dodos",2013-08-26,274743,0,false,5forty,2013-08-27T22:11:42Z,"","Polyvinyl Records",0.309,0.683,6,-9.784,0,0.0327,0.0501,0.807,0.0911,0.144,101.446,4
